K,parameter_count,recursive_calls,latency_mean_ms,latency_median_ms,latency_std_ms,initial_loss,final_loss,token_accuracy,exact_match_accuracy,training_steps,stopped_reason
1,210832,1,0.9495062333371607,0.7984630001374171,0.21776900434208094,3.244649887084961,0.009998707100749016,100.0,100.0,84,early_stop
2,210832,2,2.7383719334162984,2.703497000311472,0.09678404547898779,4.329089164733887,0.009768902324140072,100.0,100.0,55,early_stop
4,210832,4,4.262031166702703,4.245459000230767,0.056273384040723455,8.385885238647461,0.009970738552510738,100.0,100.0,32,early_stop
8,210832,8,8.72278116664044,8.724495999558712,0.27186309602850117,28.312711715698242,0.00534208444878459,100.0,100.0,29,early_stop
