T,K,parameter_count,initial_loss,final_loss,train_token_accuracy,train_exact_match,val_token_accuracy,val_exact_match,best_val_exact_match,training_steps
1,1,207234,0.8727937936782837,0.06017851084470749,97.08251953125,40.625,68.75,0.0,0.0,2000
1,2,207234,1.3158247470855713,0.003914597909897566,99.81689453125,94.140625,72.607421875,0.0,0.0,984
1,4,207234,2.7731411457061768,0.004437900613993406,99.8779296875,96.09375,79.4921875,0.0,0.0,1085
1,8,207234,9.509366989135742,0.004602356348186731,99.93896484375,98.046875,76.513671875,0.0,0.0,1469
2,1,207234,0.8642591238021851,0.04072178155183792,98.974609375,71.484375,80.37109375,0.0,0.0,2000
2,2,207234,1.298341989517212,0.004141086712479591,99.76806640625,92.578125,76.66015625,0.0,0.0,852
2,4,207234,2.7321043014526367,0.004685685038566589,99.96337890625,98.828125,82.080078125,0.0,0.0,972
2,8,207234,9.36636734008789,0.004607867449522018,99.9755859375,99.21875,83.984375,0.0,0.0,1366
4,1,207234,0.8565530776977539,0.004726891405880451,99.8291015625,94.921875,80.126953125,0.0,0.0,1962
4,2,207234,1.2821723222732544,0.004662147257477045,99.853515625,95.703125,77.099609375,0.0,0.0,787
4,4,207234,2.693639039993286,0.004641521256417036,99.86572265625,96.09375,79.248046875,0.0,0.0,926
4,8,207234,9.23033332824707,0.004763381090015173,99.951171875,98.4375,83.49609375,0.0,0.0,1281
8,1,207234,0.9024038314819336,0.07429498434066772,97.69287109375,50.78125,70.703125,0.0,0.0,2000
8,2,207234,1.3777726888656616,0.004976920783519745,99.76806640625,93.359375,68.1640625,0.0,0.0,858
8,4,207234,2.9205868244171143,0.004229056183248758,99.86572265625,95.703125,74.609375,0.0,0.0,912
8,8,207234,10.029162406921387,0.004844816401600838,99.9267578125,97.65625,80.56640625,0.0,0.0,1280
